"","GEO_ID","NAME","I_2010","I_2011","I_2012","I_2013","I_2014","I_2015","I_2016","I_2017","I_2018"
"1","72001","Adjuntas Municipio, Puerto Rico",5974,6889,7167,7235,7042,7270,7124,7117,7126
"2","72003","Aguada Municipio, Puerto Rico",7414,7951,8231,8452,9043,8465,8592,9001,9287
"3","72005","Aguadilla Municipio, Puerto Rico",7908,8740,8850,9184,9938,10297,10335,10872,11339
"4","72007","Aguas Buenas Municipio, Puerto Rico",7494,7115,6995,8058,8357,8441,9647,10615,10188
"5","72009","Aibonito Municipio, Puerto Rico",8213,8473,8674,8955,8766,8867,9262,10224,10630
"6","72011","Añasco Municipio, Puerto Rico",7584,7735,7770,7892,8223,8536,8673,9344,10259
"7","72013","Arecibo Municipio, Puerto Rico",8867,9216,9470,9529,9638,9461,9438,9954,10203
"8","72015","Arroyo Municipio, Puerto Rico",7547,7633,8091,8208,7996,7562,7655,7639,7979
"9","72017","Barceloneta Municipio, Puerto Rico",8479,8818,8310,7877,7967,7849,8245,8762,9170
"10","72019","Barranquitas Municipio, Puerto Rico",6588,6883,6967,7287,7611,7361,7369,7716,8221
"11","72021","Bayamón Municipio, Puerto Rico",12180,12287,12286,12648,12975,13068,13472,14138,14377
"12","72023","Cabo Rojo Municipio, Puerto Rico",8999,8790,9077,9257,9145,9500,9833,9523,9245
"13","72025","Caguas Municipio, Puerto Rico",11880,12261,12822,12852,13149,13486,13911,13904,14654
"14","72027","Camuy Municipio, Puerto Rico",7368,7924,8368,9112,9493,9234,9271,9738,10252
"15","72029","Canóvanas Municipio, Puerto Rico",9852,10084,10309,10473,10304,10621,10664,11094,11920
"16","72031","Carolina Municipio, Puerto Rico",13740,14016,14413,14605,14937,15185,15403,16188,16536
"17","72033","Cataño Municipio, Puerto Rico",9893,10206,10246,10567,10592,10820,11039,11627,12195
"18","72035","Cayey Municipio, Puerto Rico",9633,10375,10693,11986,12281,12453,12441,12594,12088
"19","72037","Ceiba Municipio, Puerto Rico",9658,9787,9277,9444,10640,10269,10584,11840,13044
"20","72039","Ciales Municipio, Puerto Rico",6376,6402,6231,6488,6684,6774,7080,8049,8398
"21","72041","Cidra Municipio, Puerto Rico",10175,11058,11165,11341,11572,11678,11107,10965,11079
"22","72043","Coamo Municipio, Puerto Rico",7660,8100,8317,8912,9311,9634,9699,10307,10761
"23","72045","Comerío Municipio, Puerto Rico",6755,6830,6999,6803,7152,7076,6975,7047,6903
"24","72047","Corozal Municipio, Puerto Rico",6974,7044,7372,7879,7820,7459,7793,7887,7619
"25","72049","Culebra Municipio, Puerto Rico",10349,9553,8466,8142,9041,9333,10069,11450,11830
"26","72051","Dorado Municipio, Puerto Rico",14687,15125,14591,14374,14753,14412,14504,15495,16570
"27","72053","Fajardo Municipio, Puerto Rico",9949,10358,10611,10703,10590,10609,10784,10900,11663
"28","72054","Florida Municipio, Puerto Rico",7336,6807,6867,7184,7193,7263,7451,7837,8871
"29","72055","Guánica Municipio, Puerto Rico",6104,6336,6792,6731,6653,7245,7223,7207,7430
"30","72057","Guayama Municipio, Puerto Rico",8821,9161,9020,9116,9260,8831,9034,9183,9806
"31","72059","Guayanilla Municipio, Puerto Rico",6803,7000,7025,7532,7565,7811,7864,8347,8717
"32","72061","Guaynabo Municipio, Puerto Rico",20409,20809,20977,21584,21992,23166,23834,24264,23895
"33","72063","Gurabo Municipio, Puerto Rico",12155,12878,13590,13898,14523,15111,16238,16559,17393
"34","72065","Hatillo Municipio, Puerto Rico",7934,8578,8783,9428,9632,9876,10116,10360,10659
"35","72067","Hormigueros Municipio, Puerto Rico",9877,9963,10368,10609,10700,11096,11432,11588,11874
"36","72069","Humacao Municipio, Puerto Rico",9640,10212,10605,10927,10826,10678,10994,11682,12093
"37","72071","Isabela Municipio, Puerto Rico",6859,7258,7727,8067,8472,8371,8578,8798,9228
"38","72073","Jayuya Municipio, Puerto Rico",6976,7450,7642,7879,7454,7242,7258,7179,7519
"39","72075","Juana Díaz Municipio, Puerto Rico",7928,8176,8090,8325,9205,9328,10053,10244,10611
"40","72077","Juncos Municipio, Puerto Rico",8968,9515,9582,9404,9473,9446,9282,9017,9316
"41","72079","Lajas Municipio, Puerto Rico",6857,6924,6587,6715,6893,6974,7097,7229,7233
"42","72081","Lares Municipio, Puerto Rico",6775,6783,6599,6609,7055,7598,7958,8212,8735
"43","72083","Las Marías Municipio, Puerto Rico",6417,6806,6490,7000,6963,6792,6730,7154,7098
"44","72085","Las Piedras Municipio, Puerto Rico",9078,9621,9922,9386,9816,9833,9906,10342,11239
"45","72087","Loíza Municipio, Puerto Rico",8050,8252,8435,8739,8563,8665,8694,8729,8809
"46","72089","Luquillo Municipio, Puerto Rico",10506,10660,10823,10408,10495,10284,10617,10434,11007
"47","72091","Manatí Municipio, Puerto Rico",8949,9230,9341,9886,10390,10190,10216,10559,10946
"48","72093","Maricao Municipio, Puerto Rico",5327,5755,6015,6368,6373,5878,5663,5943,5974
"49","72095","Maunabo Municipio, Puerto Rico",7366,7384,7416,8134,8436,8374,8552,8830,9471
"50","72097","Mayagüez Municipio, Puerto Rico",9416,9397,9534,9591,10074,9930,10133,10656,10678
"51","72099","Moca Municipio, Puerto Rico",6906,7230,7318,7701,7834,7685,7621,7881,8806
"52","72101","Morovis Municipio, Puerto Rico",6212,6460,6728,7060,7722,7465,8294,8816,9715
"53","72103","Naguabo Municipio, Puerto Rico",7548,8079,8289,9058,9776,9749,9809,10016,9263
"54","72105","Naranjito Municipio, Puerto Rico",6384,6669,8441,8895,9481,9347,9886,8996,9150
"55","72107","Orocovis Municipio, Puerto Rico",6134,6322,6676,6668,6968,6792,7187,7326,7889
"56","72109","Patillas Municipio, Puerto Rico",6928,7177,7375,7851,7745,7643,8127,8679,9223
"57","72111","Peñuelas Municipio, Puerto Rico",6480,6504,6955,6808,6997,7299,7581,7983,8609
"58","72113","Ponce Municipio, Puerto Rico",9545,10027,10051,10088,10564,10562,10587,10775,11368
"59","72115","Quebradillas Municipio, Puerto Rico",6295,7140,7039,7348,7602,8649,8499,9287,9819
"60","72117","Rincón Municipio, Puerto Rico",8768,9152,8934,8978,9330,9412,9445,10220,11650
"61","72119","Río Grande Municipio, Puerto Rico",10049,10459,10811,10552,10391,10363,10648,10804,10931
"62","72121","Sabana Grande Municipio, Puerto Rico",7859,7946,7815,8049,8013,7943,8638,9158,9560
"63","72123","Salinas Municipio, Puerto Rico",6944,7163,7517,7759,7992,8286,8535,8738,9034
"64","72125","San Germán Municipio, Puerto Rico",8066,8589,8889,9054,9098,9399,9445,9563,9874
"65","72127","San Juan Municipio, Puerto Rico",16031,16388,16580,16674,16931,16691,17348,18160,18569
"66","72129","San Lorenzo Municipio, Puerto Rico",8399,8787,9846,9929,9912,10021,10671,10497,10974
"67","72131","San Sebastián Municipio, Puerto Rico",6456,6736,6627,7174,7384,7519,7578,8072,8739
"68","72133","Santa Isabel Municipio, Puerto Rico",8530,8690,9159,9412,8863,9199,9545,10478,10895
"69","72135","Toa Alta Municipio, Puerto Rico",11055,11821,12340,12584,13197,13689,13816,14162,14241
"70","72137","Toa Baja Municipio, Puerto Rico",10938,11124,11328,11562,11736,11673,12008,12240,12763
"71","72139","Trujillo Alto Municipio, Puerto Rico",14588,14305,14500,14915,15182,15409,15760,15703,15886
"72","72141","Utuado Municipio, Puerto Rico",6775,7234,7388,7408,7642,7717,7841,8140,8639
"73","72143","Vega Alta Municipio, Puerto Rico",8890,8895,9109,9257,10072,9918,10448,10492,11678
"74","72145","Vega Baja Municipio, Puerto Rico",9053,8864,8681,9017,9145,9102,9632,10197,10601
"75","72147","Vieques Municipio, Puerto Rico",8054,8417,8209,8370,8611,8821,9808,11136,11156
"76","72149","Villalba Municipio, Puerto Rico",6877,7318,7602,7997,8271,8420,8733,10449,10677
"77","72151","Yabucoa Municipio, Puerto Rico",7449,7642,7848,7956,7864,7960,8531,8672,9148
"78","72153","Yauco Municipio, Puerto Rico",7374,7403,7266,7491,7858,7743,7998,8124,8339
